Energe/kal,Protain/g,Suger/g,Fat/g,Water/g,Fiber/g,Ash/g,VA/mcg,Carotene/mcg,Retinol/mcg,VB1/mg,VB2/mg,VB3/mg,VC/mg,VE/mg,K/mg,Na/mg,Ca/mg,Mg/mg,Fe/mg,Mn/mg,Zn/mg,Cu/mg,P/mg,Se/mcg,tag
231,51.7,0,2.7,11.5,39.6,2.6,0,0,0,0.01,0.1,0,0,7.9,0.6,0.6,88,0,0.4,10.81,0.23,0.63,1,0.8,2
48,0.9,10.9,0.1,86.4,1.3,0.4,0,20,3,0.01,0.03,0.7,7,1.54,166,5.7,6,7,0.8,0.07,0.34,0.05,20,0.24,2
46,1.1,9.9,0.2,88,0.3,0.5,0,210,35,0.02,0.02,0.6,10,2.22,232,8,11,12,0.4,0.07,0.23,0.1,27,0.21,2
32,1.3,5.7,0.4,88.8,3.2,0.6,0,1390,232,0.03,0.06,0.8,144,0.44,222,2.6,37,16,1.4,0.18,0.3,0.11,95,1.9,2
23,1.4,3.7,0.3,91.9,2.1,0.6,0,340,57,0.03,0.04,0.5,62,0.88,209,2.2,15,15,0.7,0.14,0.22,0.11,3,0.62,2
24,1.6,3.5,0.4,92.7,1.4,0.4,0,840,140,0.05,0.06,0.4,21,0.59,143,10.4,72,18,1.3,0.16,0.35,0.06,26,1.06,2
24,0.4,5.7,0,93,0.5,0.4,0,100,17,0.05,0.08,0.7,17,0,182,1.6,12,10,0.4,0,0.26,0.08,13,0.37,2
24,2,3.1,0.4,91.5,1.6,1.4,0,310,52,0.03,0.11,0.5,31,0.74,281,30.5,230,24,3.2,0.42,0.7,0.08,47,0.7,2
24,2.5,2.6,0.4,91.2,1.6,1.7,0,2410,402,0.06,0.09,0.8,26,0.94,149,186.3,154,46,1.2,0.1,0.73,0.04,23,0.77,2
26,2.4,3.2,0.4,91.8,1.4,0.8,0,1410,235,0.02,0.09,0.8,24,0.96,247,8.1,42,25,1.6,0.21,0.43,0.08,38,1.38,2
27,0.4,6.2,0.1,92.2,0.8,0.3,0,870,145,0.01,0.02,0.3,43,0.3,18,28,17,9,0.2,0.05,0.25,0.03,12,1.8,2
28,0.8,5.7,0.2,92,1,0.3,0,40,7,0.01,0.05,0.3,9,0.81,149,0.7,14,10,1,0.72,0.14,0.02,8,0.31,2
31,1.6,5.6,0.2,87.6,4.3,0.7,0,0,0,0.13,0.06,0,35,0,226,6.5,0,16,0.4,0.6,0.32,0.04,0,0.64,2
31,1.8,5,0.4,90.5,1.2,1.1,0,1160,193,0.04,0.14,2.2,48,0.8,272,48.5,101,33,2.9,0.28,0.45,0.21,49,0.53,2
31,2.1,4.9,0.3,90.6,0,2.1,0,0,0,0.03,0.05,1.4,0,0,351,262.1,17,13,6,2.97,1.25,0.04,96,2.43,2
35,3.1,5.3,0.2,89,1.8,0.6,0,220,37,0.05,0.07,1,15,0.31,209,5.9,48,28,3.2,0.45,0.84,0.09,57,0.88,2
36,0.9,7.8,0.1,89.4,1.3,0.5,0,450,75,0.02,0.03,0.6,4,0.95,226,2.3,14,11,0.6,0.06,0.2,0.11,15,0.2,2
39,1.1,8.1,0.2,89.2,0.9,0.5,0,20,3,0.03,0.03,0.3,8,0.14,147,4.4,24,15,0.6,0.14,0.23,0.05,39,0.92,2
41,1.1,8.3,0.4,83.9,5.9,0.4,0,0,53,0.02,0.05,0.3,68,0,235,3.3,13,10,0.2,0.11,0.21,0.08,16,1.62,2
41,1.3,7.6,0.6,87,2.7,0.8,0,170,28,0,0.03,0.8,4,0,295,14.9,27,44,1.4,3.2,0.34,0.14,25,0.56,2
51,3.2,8.6,0.4,65.3,1.8,20.7,0,0,0,0.03,0.06,0.8,0,0,170,6060.6,257,77,7.5,0.52,0.65,0.11,44,1.8,2
55,1,12.3,0.2,84.7,1.4,0.4,0,370,62,0.04,0.03,0.3,35,1.58,144,3,56,20,1,0.25,0.21,0.07,20,0.62,2
70,0.9,16.1,0.2,81.9,0.5,0.4,0,10,2,0.1,0.04,1.1,41,0,151,1.7,2,12,0.4,0.09,0.17,0.16,24,0.14,2
71,12.2,2.3,1.4,82.7,0,1.4,0,0,0,0,0.06,0.9,0.55,0.55,76,280.1,49,59,7.3,0.71,1.64,0.13,111,86.3,2
72,14.5,0,1.6,83.4,0,0.6,2,0,2,0.03,0.13,2.5,0,0.51,162,60.6,40,17,1.8,0.21,2.31,0.07,104,9.07,2
80,11.4,4.7,1.7,79.9,0,2.3,73,0,73,0.12,0.22,1.8,14.02,9.67,157,451.4,63,56,6.7,0.41,2.47,0.13,197,57.77,2
87,12.2,1.8,3.4,81.7,0,0.9,23,0,23,0.03,0.17,1.8,0,0.33,101,66,38,16,1.4,0.6,2.61,0.1,133,9.68,2
89,18,1.2,1.4,78,0,1.4,50,0,50,0.06,0.98,3.7,0,1.34,263,70.2,42,18,2.5,2.22,1.97,0.05,206,34.56,2
90,16.7,0.1,2.5,79.2,0,1.5,152,0,152,0.3,1.78,8.8,0,0,255,195.2,9,17,5.2,0.13,3.58,0.47,239,5.94,2
99,25.1,0.2,2.6,77,0,1.6,206,0,206,0.08,0,0,0,3.55,688,110,34,45,0,0.07,4.3,0.18,374,20.4,2
100,15.3,4.7,2.2,76.5,0,1.3,34,0,34,0.04,0.11,2.8,0,2.65,229,60.6,82,26,0.8,0.08,0.76,0.07,180,19.47,2
102,17.8,0,3.6,77.8,0,1.2,20,0,20,0.03,0.07,2.5,0,1.23,277,57.5,53,23,1.4,0.09,1.17,0.06,190,15.68,2
102,17.3,0,3.7,78,0,1.1,0,0,0,0.03,0.1,2.5,0,0.54,351,49.6,42,22,2.1,0.03,0.53,0.09,195,27.49,2
104,1.4,24.2,0.2,72.6,1,0.6,0,220,37,0.07,0.04,0.6,24,0.43,174,58.2,24,17,0.8,0.21,0.22,0.16,46,0.63,2
110,25.1,0.7,5.1,78.2,0,0.8,3,0,3,0.07,0.16,3.7,0,0.32,171,75.1,11,12,2.4,0.12,1.92,0.1,124,12.76,2
112,16.6,0,5.2,77.3,0,1.1,11,0,11,0.04,0.11,2.8,0,2.03,312,46,38,31,0.8,0.05,0.87,0.05,203,6.66,2
113,13.8,2,5.5,77.7,0,1,16,0,16,0.28,0.4,5.6,0,1.75,200,100.8,10,17,4,0.04,2.09,0.26,172,16.7,2
116,16.8,1.8,4.6,76,0,0.08,157,0,157,0.34,0.2,3.5,0,1.4,140,47.4,52,14,2.9,0.13,3.18,0.14,107,14.75,2
122,25.1,28.6,0.3,67.4,1.9,0.7,0,240,40,0.06,0.09,0.9,243,0.78,375,1.2,22,25,1.2,0.32,1.52,0.06,23,0.8,2
126,4.5,26.5,0.2,66.6,1.1,1.1,0,30,5,0.04,0.06,0.6,7,1.07,302,19.6,39,21,1.2,0.28,0.88,0.22,117,3.09,2
127,17.7,3.1,4.9,73.3,0,1,29,0,29,0.02,0.06,2.8,0,0.82,280,150.1,28,43,1.2,0.17,0.7,0.08,191,36.57,2
129,25.1,5,3.5,70.7,0,1.5,4972,0,4972,0.21,2.08,15,20,0.86,235,68.6,6,24,22.6,0.26,5.78,0.65,310,19.21,2
135,18.3,1.2,6.3,73.1,0,1.1,28,0,28,0.02,0.07,1.7,0,0.52,215,41.1,89,17,0.7,0.05,0.89,0.07,188,11.59,2
142,11.3,0.1,10.7,76.3,0,1.6,0,0,0,0.17,0.27,3.5,0,0,146,151.8,61,15,0,0,1.24,0,356,38.12,2
143,29.7,4.3,0.8,60.4,0,4.8,0,0,0,0,0,0,0,0.57,152,698.1,51,184,6.8,0.16,5.28,0.11,48,15.09,2
149,12.5,0.1,11,75.1,0,1.3,0,0,0,0.15,0.25,4,0,0,300,185.6,583,20,4.7,0.08,4.69,0.28,435,20.34,2
169,10.9,18.6,5.7,12.7,43.3,8.8,0,0,0,0,0.31,0,0,3.65,87,7.5,75,0,0.5,36,4.99,0.62,8,12.6,2
185,4.2,40.5,0.7,52,1.7,0.9,0,190,32,0.14,0.17,0.8,24,4.56,442,13.9,17,50,1.1,1.53,0.57,0.4,89,1.13,2
195,3.8,32.4,5.6,11.8,43,3.4,0,40,7,0.12,0.28,0.9,0,1.11,202,14.7,41,68,6.3,7.42,0.62,0.63,64,3.08,2
196,11.1,2.8,15.6,69.3,0,1.2,192,0,192,0.08,0.3,0.4,0,4.5,74,90.6,34,12,4.1,0.04,1.43,0.09,130,27.24,2
208,8.1,40.4,1.5,13.3,28.6,8.1,0,0,0,0.02,0.11,2.3,0,0.42,21.6,21.6,80,232,0.6,22.96,6.07,1.29,67,4.2,2
220,4.6,39.4,4.9,12,23.9,15.2,0,852000,142000,0.09,0.39,3.9,0,3.38,54,36,312,178,29.1,2.88,2.15,2.31,101,12.31,2
230,21.5,6.7,13,57.5,0,1.3,0,0,0,0.07,2.23,2.2,0,9.89,272,140.2,81,103,2.6,0.64,6.17,0.53,207,11.1,2
238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,2
251,14.5,21.6,11.8,8.9,33.9,9.3,0,320,53,0.04,0.36,7.1,0,0.7,1104,79.6,751,336,0.9,3.14,3.46,1.76,336,1.98,2
258,6.7,37.8,8.9,11,28.7,6.9,0,140,23,0.12,0.43,1.6,0,2.47,204,47.4,639,111,8.4,3.33,1.9,1.02,69,1.96,2
262,50.2,4.5,4.8,18.9,0,21.6,39,0,39,0.04,0.13,1.3,0,0,356,4967.8,0,1047,9,0.43,2.24,0.27,94,150,2
273,5,62.8,0.2,26.9,2,3.1,0,0,0,0,0.39,1.3,12,0,1348,3.3,38,81,0.7,0.3,0.55,1.28,206,12.4,2
273,9.1,46.3,5.7,14.9,17.7,6.3,0,0,0,0,0.1,0,0,0.01,0,9.9,62,0,0,10.65,2.3,0.96,22,3.1,2
