name:,Fullness Factor:,ND Rating:,Weight loss:,Optimum health:,Weight gain:,GLYCEMIC_LOAD:,Completeness Score:,Calories:,Calories From Carbohydrate:,Calories From Fat:,Calories From Protein:,Dietary Fiber:,Sugars:,Total Fat:,Saturated Fat:,Monounsaturated Fat:,Polyunsaturated Fat:,Protein:,Vitamin A:,Vitamin C:,Thiamin:,Riboflavin:,Niacin:,Calcium:,Iron:,Magnesium:,Phosphorus:,Potassium:,Sodium:,Zinc:,Cholesterol:,Alcohol:,Water:,Ash:,
Lotus root. raw,4.3,4.6,62.503,55.568,20.21,1.3973,57,32.002,28.143,2.5109,1.3438,1.0999,12.916,0.29998,0.068005,0.082004,0.089991,0.39997,767.02,1677.5,0.020003,0.059997,0.39997,12.001,0.19999,18.001,11.001,146.01,7.0002,0.1,0,0,91.405,0.19999,2
Balsam-pear (bitter gourd). leafy tips. raw,1.6,1.1,9.7521,12.988,21.218,20.956,9,280.91,161.82,101.14,17.978,2.2474,16.854,11.237,3.3713,3.7957,1.1633,4.4946,112.38,2.6965,0.0417,0.098905,0.65509,0,1.2136,9.7002,56.336,134.6,224.7,0.34565,0,0,48.101,0.31201,2
Balsam-pear (bitter gourd). pods. raw,1.5,0.9,7.3216,10.814,19.624,41.047,12,405.01,259.48,127.09,18.482,1.9999,31.311,14.12,5.5706,4.5004,1.09,4.6205,51.005,0,0.26997,0.23999,2.0297,24.997,2.2896,11.1,62.737,137.98,347.02,0.15265,21.003,0,15.009,1.4999,2
Purslane. cooked. boiled. drained. without salt,2.6,1.6,22.366,19.576,20.936,6.9638,15,77.992,75.891,0.89991,1.2,0.19999,10.389,0.1,0.020003,0.020003,0.03,0.29998,31.001,9.2994,0.010001,0.010001,0.059997,5.0006,0.1,1.9999,5.9998,44.999,43.006,0.050004,0,0,79.791,0.18998,2
Purslane. cooked. boiled. drained. with salt,2.8,1.5,22.353,17.954,18.178,5.253,15,69.008,66.377,1.7797,0.86001,0.29998,16.979,0.19999,0.057993,0.070006,0.036003,0.19999,260.98,1.0999,0.006999,0.011002,0.038004,5.0006,0.17,1.9999,7.0002,33.005,14.999,0.03,9.9997,0,81.005,0.19999,2
Purslane. raw,2.8,1.6,23.091,18.828,18.858,4.9836,16,67.995,64.464,2.6698,0.86001,0.29998,9.1512,0.29998,0.087001,0.10499,0.053005,0.19999,260.98,1.0999,0.008,0.011002,0.038004,5.0006,0.18998,1.9999,7.0002,33.995,15.999,0.039995,9.9997,0,81.501,0.19999,2
Fish. herring eggs on giant kelp. Pacific (Alaska Native),3.3,2.8,38.438,33.35,24.268,2.3811,30,51.005,51.005,0,0,1.0999,10.609,0,0,0,0,0,44.999,42.8,0.010001,0.03,0.13998,1,0.29998,3.9998,8.0012,132,1,0.03,0,0,85.607,0.29998,2
Seaweed. kelp. raw,3.3,2.8,38.524,33.458,24.328,2.3811,30,51.005,51.005,0,0,1.0999,10.812,0,0,0,0,0,44.999,42.8,0.010001,0.03,0.13998,1,0.29998,3.9998,8.0012,132,1,0.03,0,0,85.634,0.25002,2
Seaweed. agar. dried,3.4,2.4,35.133,28.527,20.471,2.735,23,46.994,45.289,0.89991,0.79998,0.29998,10.5,0.1,0.020003,0,0.03,0.19999,18.001,32.095,0.010001,0.020003,0.11001,7.0002,0.35004,3.0001,12.001,109.98,3.9998,0.03,0,0,88.203,0.35999,2
Seaweed. agar. raw,3.7,2.4,37.098,28.778,17.721,1.8598,26,40.996,38.993,1.6737,0.33601,0.1,8.9794,0.19999,0.034994,0.011002,0.059997,0.1,5.0006,58.298,0.008,0.015,0.093993,5.0006,0.65999,3.0001,5.9998,98.004,3.0001,0.03,0,0,89.487,0.29998,2
